height_mm,depth_mm,height_in,depth_in,width_in,beam_separation_in,gauge,load_capacity_kg,weight_kg,cost,type,category,sku
11582,914,456,36,3,42,14,15425,132.55,6216.71,selectivo,marco,frame-456in-36in-42in-g14
11582,914,456,36,3,48,14,15424,130.45,6117.91,selectivo,marco,frame-456in-36in-48in-g14
11582,914,456,36,3,54,14,14894,128.07,6006.45,selectivo,marco,frame-456in-36in-54in-g14
11582,914,456,36,3,60,14,14340,125.31,5876.84,selectivo,marco,frame-456in-36in-60in-g14
11582,914,456,36,3,72,14,13081,138.06,6475.13,selectivo,marco,frame-456in-36in-72in-g14
11582,914,456,36,3,84,14,11721,132.5,6214.33,selectivo,marco,frame-456in-36in-84in-g14
11582,914,456,36,3,96,14,10330,130.48,6119.34,selectivo,marco,frame-456in-36in-96in-g14
11582,914,456,36,3,108,14,8912,128.07,6006.45,selectivo,marco,frame-456in-36in-108in-g14
2083,1067,82,42,3,36,14,15766,26.27,1232.03,selectivo,marco,frame-82in-42in-36in-g14
2083,1067,82,42,3,42,14,15782,25.01,1172.77,selectivo,marco,frame-82in-42in-42in-g14
2083,1067,82,42,3,48,14,15760,24.57,1152.54,selectivo,marco,frame-82in-42in-48in-g14
2083,1067,82,42,3,54,14,15209,23.92,1121.95,selectivo,marco,frame-82in-42in-54in-g14
2083,1067,82,42,3,60,14,14619,23.38,1096.49,selectivo,marco,frame-82in-42in-60in-g14
2083,1067,82,42,3,72,14,13328,26.26,1231.63,selectivo,marco,frame-82in-42in-72in-g14
2133,1067,84,42,3,36,14,15764,26.9,1261.61,selectivo,marco,frame-84in-42in-36in-g14
2133,1067,84,42,3,42,14,15780,25.61,1200.92,selectivo,marco,frame-84in-42in-42in-g14
2133,1067,84,42,3,48,14,15758,25.16,1180.21,selectivo,marco,frame-84in-42in-48in-g14
2133,1067,84,42,3,54,14,15207,24.5,1148.88,selectivo,marco,frame-84in-42in-54in-g14
2133,1067,84,42,3,60,14,14617,23.94,1122.81,selectivo,marco,frame-84in-42in-60in-g14
2133,1067,84,42,3,72,14,13327,26.89,1261.20,selectivo,marco,frame-84in-42in-72in-g14
2438,1067,96,42,3,36,14,15750,30.75,1442.01,selectivo,marco,frame-96in-42in-36in-g14
2438,1067,96,42,3,42,14,15768,29.27,1372.64,selectivo,marco,frame-96in-42in-42in-g14
2438,1067,96,42,3,48,14,15748,28.76,1348.97,selectivo,marco,frame-96in-42in-48in-g14
2438,1067,96,42,3,54,14,15197,28,1313.16,selectivo,marco,frame-96in-42in-54in-g14
2438,1067,96,42,3,60,14,14608,27.36,1283.37,selectivo,marco,frame-96in-42in-60in-g14
2438,1067,96,42,3,72,14,13319,30.74,1441.53,selectivo,marco,frame-96in-42in-72in-g14
2438,1067,96,42,3,84,14,11936,29.46,1381.71,selectivo,marco,frame-96in-42in-84in-g14
3048,1067,120,42,3,36,14,15722,38.44,1802.80,selectivo,marco,frame-120in-42in-36in-g14
3048,1067,120,42,3,42,14,15746,36.59,1716.08,selectivo,marco,frame-120in-42in-42in-g14
3048,1067,120,42,3,48,14,15726,35.96,1686.48,selectivo,marco,frame-120in-42in-48in-g14
3048,1067,120,42,3,54,14,15177,35,1641.72,selectivo,marco,frame-120in-42in-54in-g14
3048,1067,120,42,3,60,14,14590,34.21,1604.47,selectivo,marco,frame-120in-42in-60in-g14
3048,1067,120,42,3,72,14,13303,38.43,1802.21,selectivo,marco,frame-120in-42in-72in-g14
3048,1067,120,42,3,84,14,11922,36.83,1727.42,selectivo,marco,frame-120in-42in-84in-g14
3048,1067,120,42,3,96,14,10508,35.98,1687.37,selectivo,marco,frame-120in-42in-96in-g14
3048,1067,120,42,3,108,14,9098,35,1641.72,selectivo,marco,frame-120in-42in-108in-g14
3658,1067,144,42,3,36,14,15695,46.13,2163.60,selectivo,marco,frame-144in-42in-36in-g14
3658,1067,144,42,3,42,14,15723,43.91,2059.52,selectivo,marco,frame-144in-42in-42in-g14
3658,1067,144,42,3,48,14,15704,43.16,2024.00,selectivo,marco,frame-144in-42in-48in-g14
3658,1067,144,42,3,54,14,15157,42.01,1970.28,selectivo,marco,frame-144in-42in-54in-g14
3658,1067,144,42,3,60,14,14573,41.06,1925.58,selectivo,marco,frame-144in-42in-60in-g14
3658,1067,144,42,3,72,14,13287,46.12,2162.89,selectivo,marco,frame-144in-42in-72in-g14
3658,1067,144,42,3,84,14,11908,44.2,2073.13,selectivo,marco,frame-144in-42in-84in-g14
3658,1067,144,42,3,96,14,10496,43.18,2025.06,selectivo,marco,frame-144in-42in-96in-g14
3658,1067,144,42,3,108,14,9084,42.01,1970.28,selectivo,marco,frame-144in-42in-108in-g14
4267,1067,168,42,3,36,14,15667,53.81,2523.81,selectivo,marco,frame-168in-42in-36in-g14
4267,1067,168,42,3,42,14,15700,51.22,2402.40,selectivo,marco,frame-168in-42in-42in-g14
4267,1067,168,42,3,48,14,15683,50.34,2360.97,selectivo,marco,frame-168in-42in-48in-g14
4267,1067,168,42,3,54,14,15137,49,2298.30,selectivo,marco,frame-168in-42in-54in-g14
